Source	Full Name	Code Name	Short Name
Endocrine	Adrenocortical Carcinoma	ACC	Adrenocortical
Urologic	Clear Cell Kidney Carcinoma	KIRC	Kidney RCC
Urologic	Papillary Kidney Carcinoma	KIRP	Kidney RPCC
Urologic	Rhabdoid	RHBD	Rhabdoid
Urologic	Chromophobe Renal Cell Carcinoma/ Kidney Chromophobe	KICH	Kidney CH
Gastrointestinal	Liver Hepatocellular Carcinoma	LIHC	Liver
Gastrointestinal	Pancreatic Ductal Adenocarcinoma	PAAD	Pancreatic
Gastrointestinal	Stomach Adenocarcinoma	STAD	Stomach
Gastrointestinal	Stomach Adenocarcinoma Chromosomal Instability	STAD_CIN	Stomach CIN
Gastrointestinal	Stomach Adenocarcinoma Microsatellite	STAD_MSI	Stomach MSI
Gastrointestinal	Stomach Adenocarcinoma Genomically Stable	STAD_GS	Stomach GS
Gastrointestinal	Stomach Adenocarcinoma Epstein-Barr virus positive	STAD_EBV	Stomach EBV
Gastrointestinal	Colorectal Adenocarcinoma	COADREAD	Colorectal
Gastrointestinal	Esophageal carcinoma	ESCA	Esophageal
Gastrointestinal	Esophageal carcinoma	ESCA_EAC	Esophageal
Gastrointestinal	Esophageal carcinoma	ESCA_SCC	Esophageal
Gastrointestinal	Cholangiocarcinoma	CHOL	Cholangiocarcinoma
Urologic	Testicular Germ Cell Cancer	TGCT	Testicular
Urologic	Urothelial Bladder Carcinoma	BLCA	Bladder
Urologic	Prostate Adenocarcinoma	PRAD	Prostate
Soft Tissue	Sarcoma	SARC	Sarcoma
Soft Tissue	Dedifferentiated Liposarcoma	SARC_DDL	Sarcoma DDL
Soft Tissue	Desmoid Tumour	SARC_desmoid	Sarcoma desmoid
Soft Tissue	Leiomyosarcoma	SARC_LMS	Leiomyosarcoma
Soft Tissue	Malignant Peripheral Nerve Sheath Tumors	SARC_MPNST	Sarcoma MPNST
Soft Tissue	Myxofibrosarcoma	SARC_MFS	Sarcoma MFS
Soft Tissue	Synovial Sarcoma	SARC_Synovial	Sarcoma Synovial
Soft Tissue	Undifferentiated pleomorphic sarcoma	SARC_UPS	Sarcoma UPS
Gynecologic	Ovarian Serous Cystadenocarcinoma	OV	Ovarian
Gynecologic	Uterine Carcinosarcoma	UCS	Uterine sarcoma
Gynecologic	Uterine Corpus Endometrial Carcinoma	UCEC	Uterine
Gynecologic	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	CESC	Cervical
Gynecologic	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	CESC_CAD	Cervical
Gynecologic	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	CESC_SCC	Cervical
Central Nervous System	 Medulloblastoma	 MB-Infant	MAGIC Infant
Central Nervous System	 Medulloblastoma	 MB-Pediatric	MAGIC Pediatric
Non specific	POG Pediatric	POG_pediatric	POG Pediatric
